Date,AAPL,AMZN,BRK-B,DIS,GOOGL,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PFE,PG,TSLA,V,WMT,XOM
2017-01-03,26.862424850463867,37.68349838256836,163.8300018310547,100.3447494506836,40.254573822021484,92.32511138916016,69.61078643798828,32.447898864746094,100.47050476074219,116.4153060913086,56.60112380981445,127.48999786376953,2.512894630432129,82.87979888916016,22.271116256713867,67.3914794921875,14.465999603271484,75.08827209472656,19.81702995300293,62.39397430419922
2017-01-04,26.83235740661621,37.85900115966797,164.0800018310547,101.63121032714844,40.242618560791016,92.17366790771484,69.73920440673828,32.33144760131836,101.42381286621094,118.23834228515625,56.34788131713867,129.41000366210938,2.5715224742889404,83.03816223144531,22.46682357788086,67.63160705566406,15.13266658782959,75.70218658447266,19.93247413635254,61.707481384277344
2017-01-05,26.96881103515625,39.022499084472656,163.3000030517578,101.57445526123047,40.50416946411133,93.13805389404297,69.09722137451172,32.409080505371094,102.20716094970703,120.21080017089844,56.34788131713867,131.80999755859375,2.5062427520751953,82.92729949951172,22.68279457092285,68.07978057861328,15.116666793823242,76.59002685546875,19.975765228271484,60.78761291503906
2017-01-06,27.269468307495117,39.79949951171875,163.41000366210938,103.08794403076172,41.111473083496094,92.69172668457031,69.10525512695312,32.40131378173828,102.9427261352539,122.94038391113281,56.83628845214844,131.07000732421875,2.539745569229126,82.80851745605469,22.59505844116211,68.05577087402344,15.267333030700684,77.64786529541016,19.701570510864258,60.7532844543457
2017-01-09,27.51924705505371,39.84600067138672,162.02000427246094,102.50146484375,41.20961380004883,92.67578125,69.15340423583984,32.07529067993164,102.74212646484375,124.42471313476562,56.655399322509766,130.9499969482422,2.642714500427246,81.93732452392578,22.58831024169922,67.5515365600586,15.41866683959961,77.2134017944336,19.831453323364258,59.751041412353516
2017-01-10,27.546998977661133,39.79499816894531,161.47000122070312,102.52037811279297,41.15132522583008,92.58013153076172,69.35398864746094,31.857940673828125,102.52241516113281,123.87679290771484,56.6373176574707,129.88999938964844,2.6227614879608154,80.75732421875,22.56805419921875,66.82319641113281,15.324666976928711,76.79779815673828,19.692913055419922,58.98903274536133
2017-01-11,27.695011138916016,39.95100021362305,162.22999572753906,103.52307891845703,41.3431282043457,91.44042205810547,69.87559509277344,31.865692138671875,102.9905014038086,125.61016845703125,57.1528434753418,130.5,2.590491533279419,80.63058471679688,22.156383514404297,67.03129577636719,15.315333366394043,77.26063537597656,19.779504776000977,59.5931510925293
2017-01-12,27.579376220703125,40.68199920654297,161.41000366210938,101.7163314819336,41.326690673828125,91.35272979736328,69.2015609741211,31.788068771362305,103.85030364990234,126.13816833496094,56.628265380859375,129.17999267578125,2.5481207370758057,80.65434265136719,22.001157760620117,67.10333251953125,15.305999755859375,76.85447692871094,19.61787223815918,59.270503997802734
2017-01-13,27.530807495117188,40.856998443603516,161.89999389648438,102.21768188476562,41.396934509277344,91.33680725097656,69.5706558227539,31.733734130859375,103.8406982421875,127.85160064697266,56.70967483520508,133.6999969482422,2.547875165939331,80.42467498779297,21.947168350219727,67.2394027709961,15.850000381469727,76.66555786132812,19.375425338745117,59.277374267578125
2017-01-17,27.75282859802246,40.486000061035156,159.63999938964844,102.1325454711914,41.22356414794922,91.552001953125,67.04300689697266,31.997665405273438,103.55410766601562,127.38340759277344,56.555904388427734,132.88999938964844,2.4907240867614746,80.93152618408203,21.636722564697266,68.19984436035156,15.70533275604248,76.75059509277344,19.747751235961914,59.970703125
2017-01-18,27.75051498413086,40.374000549316406,160.49000549316406,102.31228637695312,41.3012809753418,91.41649627685547,67.35599517822266,32.052005767822266,103.80250549316406,127.43321228027344,56.52876281738281,133.25999450683594,2.5360500812530518,81.36709594726562,21.616477966308594,68.51446533203125,15.890666961669922,77.06227111816406,19.658273696899414,59.22932052612305
2017-01-19,27.70195198059082,40.45199966430664,159.41000366210938,101.47986602783203,41.06961441040039,91.01799011230469,66.8424301147461,31.93556022644043,103.67831420898438,127.06462860107422,56.34788131713867,138.41000366210938,2.590491533279419,81.066162109375,21.393766403198242,68.32891082763672,16.250667572021484,77.19453430175781,19.516860961914062,58.165287017822266
2017-01-20,27.75282859802246,40.416500091552734,160.2100067138672,101.83931732177734,41.258934020996094,90.97813415527344,67.13929748535156,32.07529067993164,105.0444107055664,126.55655670166016,56.745849609375,138.60000610351562,2.562161922454834,81.76309967041016,21.441009521484375,70.54740142822266,16.315332412719727,77.29839324951172,19.38985824584961,58.96158218383789
2017-01-23,27.77133560180664,40.89400100708008,158.80999755859375,101.32850646972656,42.06899642944336,90.78687286376953,67.17142486572266,32.16069030761719,104.7291488647461,128.43936157226562,56.9448127746582,137.38999938964844,2.588766098022461,82.37290954589844,21.231796264648438,70.15208435058594,16.594667434692383,77.59120178222656,19.236886978149414,58.33002853393555
2017-01-24,27.745891571044922,41.12200164794922,160.72000122070312,102.06632995605469,42.32307815551758,89.07331085205078,67.98187255859375,32.52553176879883,105.0062026977539,128.877685546875,57.45132827758789,140.11000061035156,2.6439459323883057,82.92729949951172,21.022581100463867,70.87815856933594,16.974000930786133,78.61125183105469,19.453353881835938,58.41238784790039
2017-01-25,28.1876163482666,41.82600021362305,164.25,102.19876098632812,42.76746368408203,89.90218353271484,69.03303527832031,32.696292877197266,105.26411437988281,130.97964477539062,57.59604263305664,139.52000427246094,2.655277967453003,82.84810638427734,21.117061614990234,70.3134536743164,16.96466636657715,79.24407958984375,19.306150436401367,58.584014892578125
